GPS Cluster,Lion ID,Lion sex,State (kill (1) or non-kill (0)),Prey species,Average wind speed precedding GPS cluster,Moon present (1) or absent (0),Viewshed 50m,Viewshed 50 to 100m,Viewshed 100 to 300m,Viewshed 300m,Distance to downwind cover,Minimum distance to cover
ROY129,Roy,Male,0,,1.62,1,7860,20079,130027,157966,56.48,52.37
ROY13,Roy,Male,0,,2.566666667,0,50,0,0,50,4.3,2.55
ROY132,Roy,Male,1,Kudu,1.16,1,1,20,12676,12697,1.58,2.55
ROY135,Roy,Male,0,,0.66,1,4399,6166,67729,78294,5.52,5.52
ROY14,Roy,Male,0,,0,1,2298,554,7000,9852,7.52,7.52
ROY142,Roy,Male,0,,1.16,1,4777,9030,20109,33916,13.21,5.7
ROY145,Roy,Male,0,,2,1,7852,12485,26422,46759,61.66,61.66
ROY147,Roy,Male,0,,3.66,1,7856,14391,25159,47406,54.12,54.12
ROY149,Roy,Male,0,,1.62,1,7860,14619,25531,48010,56.57,56.57
ROY151,Roy,Male,0,,5.06,0,2386,2786,3985,9157,16.32,10.12
ROY153,Roy,Male,0,,3.4,0,6457,12517,45837,64811,17.68,9.62
ROY156,Roy,Male,0,,2.56,0,3482,3941,21334,28757,12.35,12.35
ROY159,Roy,Male,0,,0,1,4812,9824,77004,91640,6.52,6.52
ROY16,Roy,Male,1,Hartebeest,4.266666667,0,7860,23568,180389,211817,116.95,115.96
ROY164,Roy,Male,0,,0.56,1,5746,4225,16238,26209,14.58,14.58
ROY166,Roy,Male,0,,3.24,1,624,77,6,707,3.54,3.54
ROY167,Roy,Male,1,Ostrich,1.74,1,364,234,83,681,2.55,2.55
ROY168,Roy,Male,1,Kudu,3.5,1,0,0,1962,1962,2.92,2.92
ROY177,Roy,Male,0,,3.3,0,7689,21053,31172,59914,37.48,26.5
ROY178,Roy,Male,1,Hartebeest,3.22,0,6924,15351,128663,150938,25.39,25.39
ROY179,Roy,Male,1,Eland,3.84,0,7674,20011,167109,194794,115.21,36.17
ROY180,Roy,Male,0,,1.14,1,7540,20074,155014,182628,30.5,30.5
ROY181,Roy,Male,1,Warthog,3.52,0,4732,11722,101931,118385,6.52,6.52
ROY184,Roy,Male,0,,3.76,0,2586,1557,6319,10462,16.14,12.35
ROY187,Roy,Male,0,,2.04,0,7374,13821,34308,55503,32.6,28.85
ROY192,Roy,Male,0,,1.86,0,16,23,2060,2099,1.58,1.58
